An existing JUnit 5 test class for this focal method is already in place.
PIT was run against it. The mutants below are the ones it did NOT kill.
Add new test methods that kill them. Do not rewrite or delete existing tests.

SURVIVED (7 total) -- the mutated line already executes, but no assertion distinguishes the mutant from the original. Assert on the specific value or side effect this line changes:
- line 399 | ConditionalsBoundaryMutator | changed conditional boundary | source: if (inAvail < 0) {
- line 467 | MathMutator | Replaced Shift Right with Shift Left | source: context.lbitWorkArea = context.lbitWorkArea >> 6;
- line 468 | MathMutator | Replaced integer addition with subtraction | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 16 & MASK_8BITS);
- line 468 | MathMutator | Replaced Shift Right with Shift Left | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 16 & MASK_8BITS);
- line 468 | MathMutator | Replaced bitwise AND with OR | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 16 & MASK_8BITS);
- line 469 | MathMutator | Replaced integer addition with subtraction | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 8 & MASK_8BITS);
- line 469 | MathMutator | Replaced Shift Right with Shift Left | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 8 & MASK_8BITS);
- line 469 | MathMutator | Replaced bitwise AND with OR | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 8 & MASK_8BITS);
- line 470 | MathMutator | Replaced integer addition with subtraction | source: buffer[context.pos++] = (byte) (context.lbitWorkArea & MASK_8BITS);
- line 470 | MathMutator | Replaced bitwise AND with OR | source: buffer[context.pos++] = (byte) (context.lbitWorkArea & MASK_8BITS);
- line 474 | MathMutator | Replaced Shift Right with Shift Left | source: context.lbitWorkArea = context.lbitWorkArea >> 3;
- line 475 | MathMutator | Replaced integer addition with subtraction | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 24 & MASK_8BITS);
- line 475 | MathMutator | Replaced Shift Right with Shift Left | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 24 & MASK_8BITS);
- line 475 | MathMutator | Replaced bitwise AND with OR | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 24 & MASK_8BITS);
- line 476 | MathMutator | Replaced integer addition with subtraction | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 16 & MASK_8BITS);
- line 476 | MathMutator | Replaced Shift Right with Shift Left | source: buffer[context.pos++] = (byte) (context.lbitWorkArea >> 16 & MASK_8BITS);
- ... and 12 more NO_COVERAGE mutants.

Test methods that already exist -- pick different names to avoid a duplicate-method compilation error:
  testDecode_boundaryConditions, testDecode_emptyInput, testDecode_eofFlagSet, testDecode_eofWithValidInput, testDecode_invalidTrailingCharacters, testDecode_invalidTrailingCharacters_case1, testDecode_negativeInAvail, testDecode_nonBase32Characters, testDecode_paddingCharacters, testDecode_validInput, testDecode_variousValidInputs
