task_id,project,state,status,kt_tests,kt_killed,kt_mutants,kt_survived,kt_nocov,kt_ms,kt_cpr,kt_epr,kt_kpt,kt_secs,kt_lc,kt_bc,kt_ic,kt_lcp,kt_bcp,kt_icp,f_tests,f_killed,f_mutants,f_survived,f_nocov,f_ms,f_cpr,f_epr,f_kpt,f_secs,f_lc,f_bc,f_ic,f_lcp,f_bcp,f_icp,mutants,d_ms_pp,d_lc_pp,d_bc_pp,d_ic_pp,d_kpt,newly_killed,lost_kills,added_tests,seed_health,suite_green
Rule_pattern,commons-codec,completed,COMPLETED,13,10,31,21,0,32.26,True,False,0.7692,,100.0,97.5,100.0,0.0,0.0,0.0,26,17,31,14,0,54.84,True,False,0.6538,86.922,100.0,97.5,100.0,0.0,0.0,0.0,31,22.581,0.0,0.0,0.0,-0.1154,6,0,13,GREEN_FILTERED,True
DoubleMetaphone_handleS,commons-codec,failed,SEED_UNCOMPILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaitchMokotoffSoundex_soundex,commons-codec,completed,COMPLETED,16,19,27,8,0,70.37,True,False,1.1875,,97.73,90.48,98.51,0.0,0.0,0.0,19,19,27,8,0,70.37,True,False,1.0,43.422,97.73,90.48,98.51,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,-0.1875,0,0,3,GREEN_FILTERED,True
Nysiis_transcodeRemaining,commons-codec,completed,COMPLETED,17,18,26,3,5,69.23,True,False,1.0588,,80.0,75.76,86.75,0.0,0.0,0.0,22,21,26,3,2,80.77,True,False,0.9545,42.295,95.0,84.85,93.98,0.0,0.0,0.0,26,11.538,15.0,9.09,7.23,-0.1043,3,0,5,GREEN_FILTERED,True
MurmurHash3_hash128x64Internal,commons-codec,completed,COMPLETED,7,0,92,0,92,0.0,True,False,0.0,,96.49,27.78,92.99,0.0,0.0,0.0,17,34,92,58,0,36.96,True,False,2.0,85.983,100.0,22.22,100.0,0.0,0.0,0.0,92,36.956,3.51,-5.56,7.01,2.0,34,0,10,GREEN_FILTERED,True
Nysiis_nysiis,commons-codec,completed,COMPLETED,16,20,34,11,3,58.82,True,False,1.25,,91.67,88.46,89.86,0.0,0.0,0.0,27,27,34,7,0,79.41,True,False,1.0,53.188,100.0,96.15,99.54,0.0,0.0,0.0,34,20.588,8.33,7.69,9.68,-0.25,6,0,11,GREEN_FILTERED,True
ColognePhonetic_colognePhonetic,commons-codec,completed,COMPLETED,18,19,46,15,12,41.3,True,False,1.0556,,89.58,83.02,89.25,0.0,0.0,0.0,39,36,46,7,3,78.26,True,False,0.9231,133.196,95.83,84.91,93.55,0.0,0.0,0.0,46,36.957,6.25,1.89,4.3,-0.1325,12,0,21,GREEN_FILTERED,True
Md5Crypt_md5Crypt,commons-codec,failed,SEED_UNCOMPILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubleMetaphone_doubleMetaphone,commons-codec,completed,COMPLETED,14,17,48,10,21,35.42,True,False,1.2143,,69.7,60.42,62.54,0.0,0.0,0.0,35,43,48,2,3,89.58,True,False,1.2286,123.885,80.3,85.42,85.28,0.0,0.0,0.0,48,54.167,10.61,25.0,22.74,0.0143,14,0,21,GREEN_FILTERED,True
Metaphone_metaphone,commons-codec,completed,COMPLETED,14,38,91,29,24,41.76,True,False,2.7143,,71.07,63.97,74.32,0.0,0.0,0.0,29,59,91,24,8,64.84,True,False,2.0345,139.151,82.64,74.26,83.9,0.0,0.0,0.0,91,23.077,11.57,10.29,9.59,-0.6798,17,0,15,GREEN_FILTERED,True
DoubleMetaphone_handleC,commons-codec,completed,COMPLETED,10,15,40,11,14,37.5,True,False,1.5,,70.59,62.5,85.06,0.0,0.0,0.0,15,19,40,11,10,47.5,True,False,1.2667,79.394,73.53,68.75,85.82,0.0,0.0,0.0,40,10.0,2.94,6.25,0.77,-0.2333,4,0,5,GREEN_FILTERED,True
Sha2Crypt_sha2Crypt,commons-codec,completed,COMPLETED,7,4,102,92,6,3.92,True,True,0.5714,,93.16,79.41,93.32,93.16,79.41,93.32,40,9,102,91,2,8.82,True,True,0.225,190.284,96.58,85.29,96.19,96.58,85.29,96.19,102,4.902,3.42,5.88,2.86,-0.3464,5,0,33,GREEN,True
Flat3Map_get,commons-collections,completed,COMPLETED,10,19,20,1,0,95.0,True,True,1.9,,100.0,75.0,100.0,100.0,75.0,100.0,32,19,20,1,0,95.0,True,True,0.5938,116.922,100.0,87.5,100.0,100.0,87.5,100.0,20,0.0,0.0,12.5,0.0,-1.3062,0,0,22,GREEN,True
IteratorUtils_getIterator,commons-collections,completed,COMPLETED,6,10,24,3,11,41.67,True,True,1.6667,,46.43,50.0,45.37,46.43,50.0,45.37,11,17,24,2,5,70.83,True,True,1.5455,72.173,67.86,75.0,67.59,67.86,75.0,67.59,24,29.167,21.43,25.0,22.22,-0.1212,7,0,5,GREEN,True
SequencesComparator_getMiddleSnake,commons-collections,completed,COMPLETED,6,42,95,49,4,44.21,True,False,7.0,,97.22,82.69,94.66,0.0,0.0,0.0,15,45,95,46,4,47.37,True,False,3.0,63.691,97.22,84.62,94.66,0.0,0.0,0.0,95,3.158,0.0,1.92,0.0,-4.0,2,0,9,GREEN_FILTERED,True
Flat3Map_containsKey,commons-collections,completed,COMPLETED,10,19,22,2,1,86.36,True,True,1.9,,95.0,68.75,97.26,95.0,68.75,97.26,22,21,22,1,0,95.45,True,True,0.9545,69.458,100.0,84.38,100.0,100.0,84.38,100.0,22,9.091,5.0,15.62,2.74,-0.9455,2,0,12,GREEN,True
Flat3Map_equals,commons-collections,completed,COMPLETED,13,10,23,7,6,43.48,True,False,0.7692,,82.14,69.23,86.32,0.0,0.0,0.0,19,14,23,5,4,60.87,True,False,0.7368,57.851,89.29,76.92,90.53,0.0,0.0,0.0,23,17.391,7.14,7.69,4.21,-0.0324,4,0,6,GREEN_FILTERED,True
AbstractPatriciaTrie_put,commons-collections,completed,COMPLETED,13,0,22,0,22,0.0,True,False,0.0,,24.14,15.0,19.38,0.0,0.0,0.0,14,0,22,0,22,0.0,True,False,0.0,82.313,24.14,15.0,19.38,0.0,0.0,0.0,22,0,0.0,0.0,0.0,0.0,0,0,1,GREEN_FILTERED,True
AbstractPatriciaTrie_nextEntryImpl,commons-collections,completed,COMPLETED,8,0,21,0,21,0.0,True,False,0.0,,46.67,43.75,46.09,0.0,0.0,0.0,18,0,21,0,21,0.0,True,False,0.0,143.036,46.67,46.88,44.35,0.0,0.0,0.0,21,0,0.0,3.12,-1.74,0.0,0,0,10,GREEN_FILTERED,True
Flat3Map_remove,commons-collections,completed,COMPLETED,10,17,36,4,15,47.22,True,False,1.7,,45.69,44.23,45.85,0.0,0.0,0.0,20,31,36,2,3,86.11,True,False,1.55,55.833,88.79,69.23,88.34,0.0,0.0,0.0,36,38.889,43.1,25.0,42.49,-0.15,12,0,10,GREEN_FILTERED,True
AbstractPatriciaTrie_removeInternalEntry,commons-collections,failed,SEED_UNCOMPILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeBidiMap_doRedBlackDelete,commons-collections,completed,COMPLETED,7,1,24,4,19,4.17,True,False,0.1429,,60.71,50.0,58.44,0.0,0.0,0.0,10,1,24,4,19,4.17,True,False,0.1,72.179,32.14,25.0,28.57,0.0,0.0,0.0,24,0.0,-28.57,-25.0,-29.87,-0.0429,0,0,3,GREEN_FILTERED,True
TreeBidiMap_swapPosition,commons-collections,completed,COMPLETED,8,0,43,19,24,0.0,True,False,0.0,,53.85,33.33,45.65,0.0,0.0,0.0,8,0,43,19,24,0.0,True,False,0.0,145.525,53.85,33.33,45.65,0.0,0.0,0.0,43,0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
Flat3Map_put,commons-collections,completed,COMPLETED,10,13,25,5,7,52.0,True,False,1.3,,72.92,61.9,72.83,0.0,0.0,0.0,17,18,25,3,4,72.0,True,False,1.0588,40.976,81.25,78.57,84.39,0.0,0.0,0.0,25,20.0,8.33,16.67,11.56,-0.2412,4,0,7,GREEN_FILTERED,True
AbstractPatriciaTrie_higherEntry,commons-collections,completed,COMPLETED,13,0,20,0,20,0.0,True,False,0.0,,21.43,22.22,16.1,0.0,0.0,0.0,16,0,20,0,20,0.0,True,False,0.0,96.534,21.43,22.22,16.1,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0,0,3,GREEN_FILTERED,True
Flat3Map_containsValue,commons-collections,completed,COMPLETED,12,11,17,4,2,64.71,True,True,0.9167,,88.89,70.83,92.73,88.89,70.83,92.73,16,16,17,1,0,94.12,True,True,1.0,22.897,100.0,87.5,100.0,100.0,87.5,100.0,17,29.412,11.11,16.67,7.27,0.0833,5,0,4,GREEN,True
Lexer_parseEncapsulatedToken,commons-csv,completed,COMPLETED,11,0,13,0,13,0.0,True,False,0.0,,38.71,35.0,39.86,0.0,0.0,0.0,11,0,13,0,13,0.0,True,False,0.0,118.66,0.0,0.0,0.0,0.0,0.0,0.0,13,0,-38.71,-35.0,-39.86,0.0,0,0,0,GREEN_FILTERED,True
Lexer_nextToken,commons-csv,completed,COMPLETED,5,1,24,4,19,4.17,True,False,0.2,,43.59,39.47,43.59,0.0,0.0,0.0,6,5,24,7,12,20.83,True,False,0.8333,57.95,38.46,31.58,37.82,0.0,0.0,0.0,24,16.667,-5.13,-7.89,-5.77,0.6333,4,0,1,GREEN_FILTERED,True
CSVParser_createHeaders,commons-csv,completed,COMPLETED,8,2,22,1,19,9.09,True,False,0.25,,16.28,5.26,12.14,0.0,0.0,0.0,9,10,22,6,6,45.45,True,False,1.1111,73.602,76.74,44.74,65.32,0.0,0.0,0.0,22,36.364,60.47,39.47,53.18,0.8611,8,0,1,GREEN_FILTERED,True
CSVFormat_printWithQuotes,commons-csv,completed,COMPLETED,10,15,26,9,2,57.69,True,False,1.5,,79.63,67.44,79.27,0.0,0.0,0.0,20,16,26,8,2,61.54,True,False,0.8,60.732,81.48,72.09,80.83,0.0,0.0,0.0,26,3.846,1.85,4.65,1.55,-0.7,1,0,10,GREEN_FILTERED,True
CSVParser_nextRecord,commons-csv,completed,COMPLETED,8,10,14,4,0,71.43,True,False,1.25,,86.21,77.78,73.24,0.0,0.0,0.0,11,12,14,2,0,85.71,True,False,1.0909,36.902,86.21,77.78,73.24,0.0,0.0,0.0,14,14.286,0.0,0.0,0.0,-0.1591,2,0,3,GREEN_FILTERED,True
CSVFormat_toString,commons-csv,completed,COMPLETED,11,9,12,3,0,75.0,True,False,0.8182,,97.06,81.82,97.65,0.0,0.0,0.0,14,12,12,0,0,100.0,True,False,0.8571,17.67,100.0,86.36,100.0,0.0,0.0,0.0,12,25.0,2.94,4.55,2.35,0.0389,3,0,3,GREEN_FILTERED,True
SqlTransformer_handlePrimitivesInArray,datafaker,completed,COMPLETED,14,0,22,0,22,0.0,True,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14,0,22,0,22,0.0,True,False,0.0,73.624,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
FakeValuesService_javaNameToYamlName,datafaker,completed,COMPLETED,11,22,28,6,0,78.57,True,False,2.0,,100.0,100.0,100.0,0.0,0.0,0.0,17,21,28,7,0,75.0,True,False,1.2353,25.119,100.0,100.0,100.0,0.0,0.0,0.0,28,-3.571,0.0,0.0,0.0,-0.7647,0,1,6,GREEN_FILTERED,True
FakeValuesService_resolveExpression,datafaker,completed,COMPLETED,9,1,35,20,14,2.86,True,False,0.1111,,50.0,47.73,48.84,0.0,0.0,0.0,11,22,35,0,13,62.86,True,False,2.0,71.768,52.5,38.64,41.28,0.0,0.0,0.0,35,60.0,2.5,-9.09,-7.56,1.8889,18,0,2,GREEN_FILTERED,True
FakeValues_toJavaNames,datafaker,completed,COMPLETED,13,19,30,10,1,63.33,True,False,1.4615,,100.0,84.38,95.54,0.0,0.0,0.0,19,18,30,12,0,60.0,True,False,0.9474,59.245,100.0,90.62,100.0,0.0,0.0,0.0,30,-3.333,0.0,6.25,4.46,-0.5141,1,1,6,GREEN_FILTERED,True
FakeValuesService_bothify,datafaker,completed,COMPLETED,11,0,8,0,8,0.0,True,False,0.0,,81.82,78.57,77.78,0.0,0.0,0.0,11,0,8,0,8,0.0,True,False,0.0,66.342,0.0,0.0,0.0,0.0,0.0,0.0,8,0,-81.82,-78.57,-77.78,0.0,0,0,0,GREEN_FILTERED,True
FakeValuesService_resolveExpression_2,datafaker,completed,COMPLETED,6,2,23,21,0,8.7,True,True,0.3333,,96.15,87.5,94.07,96.15,87.5,94.07,11,0,23,23,0,0.0,True,True,0.0,343.641,96.15,87.5,94.07,96.15,87.5,94.07,23,-8.696,0.0,0.0,0.0,-0.3333,0,2,5,GREEN,True
ConstructorConstructor_newDefaultImplementationConstructor,gson,completed,COMPLETED,10,12,19,3,4,63.16,True,False,1.2,,80.0,75.0,73.49,0.0,0.0,0.0,11,12,19,3,4,63.16,True,False,1.0909,48.364,80.0,75.0,73.49,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,-0.1091,0,0,1,GREEN_FILTERED,True
$Gson$Types_resolve,gson,completed,COMPLETED,0,0,25,0,25,0.0,True,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25,0,25,0.0,True,False,,105.565,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,0.0,0.0,,0,0,0,GREEN_FILTERED,False
JsonReader_doPeek,gson,completed,COMPLETED,7,0,59,9,50,0.0,True,False,0.0,,34.62,28.79,35.19,0.0,0.0,0.0,13,17,59,11,31,28.81,True,False,1.3077,283.315,51.28,46.97,48.77,0.0,0.0,0.0,59,28.814,16.67,18.18,13.58,1.3077,17,0,6,GREEN_FILTERED,True
JsonReader_skipValue,gson,completed,COMPLETED,10,8,28,2,18,28.57,True,False,0.8,,63.41,48.0,52.38,0.0,0.0,0.0,11,8,28,2,18,28.57,True,False,0.7273,90.935,41.46,28.0,36.51,0.0,0.0,0.0,28,0.0,-21.95,-20.0,-15.87,-0.0727,0,0,1,GREEN_FILTERED,True
JsonTreeReader_peek,gson,completed,COMPLETED,8,21,25,2,2,84.0,True,True,2.625,,90.0,88.46,91.92,90.0,88.46,91.92,9,23,25,1,1,92.0,True,True,2.5556,13.279,93.33,92.31,93.94,93.33,92.31,93.94,25,8.0,3.33,3.85,2.02,-0.0694,2,0,1,GREEN,True
Primitives_unwrap,gson,completed,COMPLETED,13,19,19,0,0,100.0,True,False,1.4615,,100.0,100.0,100.0,0.0,0.0,0.0,13,19,19,0,0,100.0,True,False,1.4615,0.001,100.0,100.0,100.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
JsonReader_peek,gson,completed,COMPLETED,15,7,11,0,4,63.64,True,False,0.4667,,66.67,53.85,64.71,0.0,0.0,0.0,18,9,11,0,2,81.82,True,False,0.5,25.574,80.0,69.23,76.47,0.0,0.0,0.0,11,18.182,13.33,15.38,11.76,0.0333,2,0,3,GREEN_FILTERED,True
JsonReader_peekNumber,gson,completed,COMPLETED,8,0,50,0,50,0.0,True,False,0.0,,47.62,31.88,51.3,0.0,0.0,0.0,8,0,50,0,50,0.0,True,False,0.0,240.727,0.0,0.0,0.0,0.0,0.0,0.0,50,0,-47.62,-31.88,-51.3,0.0,0,0,0,GREEN_FILTERED,True
JsonReader_nextUnquotedValue,gson,completed,COMPLETED,8,8,16,5,3,50.0,True,False,1.0,,63.16,60.0,60.0,0.0,0.0,0.0,11,11,16,5,0,68.75,True,False,1.0,36.332,94.74,80.0,98.95,0.0,0.0,0.0,16,18.75,31.58,20.0,38.95,0.0,3,0,3,GREEN_FILTERED,True
LinkedTreeMap_find,gson,completed,COMPLETED,11,8,18,10,0,44.44,True,False,0.7273,,90.91,81.82,86.4,0.0,0.0,0.0,18,9,18,9,0,50.0,True,False,0.5,35.133,96.97,81.82,88.8,0.0,0.0,0.0,18,5.556,6.06,0.0,2.4,-0.2273,1,0,7,GREEN_FILTERED,True
JsonReader_nextNonWhitespace,gson,completed,COMPLETED,12,13,27,8,6,48.15,True,False,1.0833,,86.27,77.78,84.34,0.0,0.0,0.0,16,17,27,8,2,62.96,True,False,1.0625,48.632,88.24,77.78,86.14,0.0,0.0,0.0,27,14.815,1.96,0.0,1.81,-0.0208,4,0,4,GREEN_FILTERED,True
Excluder_excludeField,gson,completed,COMPLETED,6,4,24,7,13,16.67,True,False,0.6667,,43.48,28.12,36.54,0.0,0.0,0.0,6,4,24,7,13,16.67,True,False,0.6667,53.842,43.48,28.12,36.54,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
TypeToken_isAssignableFrom,gson,completed,COMPLETED,9,5,15,8,2,33.33,True,False,0.5556,,92.31,77.78,96.33,0.0,0.0,0.0,15,5,15,8,2,33.33,True,False,0.3333,38.827,92.31,88.89,96.33,0.0,0.0,0.0,15,0.0,0.0,11.11,0.0,-0.2223,0,0,6,GREEN_FILTERED,True
Primitives_wrap,gson,completed,COMPLETED,14,19,19,0,0,100.0,True,False,1.3571,,100.0,100.0,100.0,0.0,0.0,0.0,14,19,19,0,0,100.0,True,False,1.3571,0.001,100.0,100.0,100.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
LinkedTreeMap_rebalance,gson,completed,COMPLETED,2,0,31,0,31,0.0,True,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,0,31,0,31,0.0,True,False,0.0,69.137,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
ReflectiveTypeAdapterFactory_getBoundFields,gson,completed,COMPLETED,1,0,25,0,25,0.0,True,False,0.0,,28.26,20.0,25.37,0.0,0.0,0.0,2,1,25,1,23,4.0,True,False,0.5,65.314,6.52,2.5,4.39,0.0,0.0,0.0,25,4.0,-21.74,-17.5,-20.98,0.5,1,0,1,GREEN_FILTERED,True
ObjectTypeAdapter_read,gson,completed,COMPLETED,12,11,14,2,1,78.57,True,True,0.9167,,96.67,94.44,94.74,96.67,94.44,94.74,12,11,14,2,1,78.57,True,True,0.9167,24.983,96.67,94.44,94.74,96.67,94.44,94.74,14,0.0,0.0,0.0,0.0,0.0,0,0,0,GREEN,True
$Gson$Types_getGenericSupertype,gson,completed,COMPLETED,15,5,16,7,4,31.25,True,False,0.3333,,89.47,83.33,89.61,0.0,0.0,0.0,19,6,16,7,3,37.5,True,False,0.3158,43.922,84.21,72.22,75.32,0.0,0.0,0.0,16,6.25,-5.26,-11.11,-14.29,-0.0175,1,0,4,GREEN_FILTERED,True
JsonReader_readEscapeCharacter,gson,completed,COMPLETED,8,18,40,3,19,45.0,True,False,2.25,,53.57,38.71,51.27,0.0,0.0,0.0,14,21,40,11,8,52.5,True,False,1.5,42.094,75.0,67.74,70.89,0.0,0.0,0.0,40,7.5,21.43,29.03,19.62,-0.75,3,0,6,GREEN_FILTERED,True
$Gson$Types_equals,gson,completed,COMPLETED,13,20,30,6,4,66.67,True,True,1.5385,,87.88,76.47,93.8,87.88,76.47,93.8,14,20,30,6,4,66.67,True,True,1.4286,37.349,87.88,76.47,93.8,87.88,76.47,93.8,30,0.0,0.0,0.0,0.0,-0.1099,0,0,1,GREEN,True
AbstractStAXStreamProcessor_printDocument,jdom2,completed,COMPLETED,0,0,32,0,32,0.0,True,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,0,32,0.0,True,False,,143.084,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0.0,0.0,0.0,,0,0,0,GREEN_FILTERED,False
StringBin_locate,jdom2,completed,COMPLETED,8,16,48,0,32,33.33,True,False,2.0,,46.43,26.92,43.55,0.0,0.0,0.0,15,16,48,0,32,33.33,True,False,1.0667,39.923,46.43,26.92,43.55,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,-0.9333,0,0,7,GREEN_FILTERED,True
AbstractXMLOutputProcessor_printDocument,jdom2,failed,SEED_STILL_RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTDParser_formatInternal,jdom2,completed,COMPLETED,12,0,12,0,12,0.0,True,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12,0,12,0,12,0.0,True,False,0.0,115.441,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
AbstractStAXStreamProcessor_printContent,jdom2,completed,COMPLETED,9,0,12,0,12,0.0,True,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9,0,12,0,12,0.0,True,False,0.0,109.219,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
WalkerNORMALIZE_analyzeMultiText,jdom2,completed,COMPLETED,4,0,25,0,25,0.0,True,False,0.0,,15.15,3.03,14.53,0.0,0.0,0.0,5,1,25,1,23,4.0,True,False,0.2,93.499,15.15,3.03,10.26,0.0,0.0,0.0,25,4.0,0.0,0.0,-4.27,0.2,1,0,1,GREEN_FILTERED,True
AbstractSAXOutputProcessor_printContent,jdom2,completed,COMPLETED,7,0,11,1,10,0.0,True,False,0.0,,8.7,14.29,4.82,0.0,0.0,0.0,7,0,11,1,10,0.0,True,False,0.0,91.159,8.7,7.14,4.82,0.0,0.0,0.0,11,0,0.0,-7.14,0.0,0.0,0,0,0,GREEN_FILTERED,True
XPathHelper_getSingleStep,jdom2,completed,COMPLETED,3,0,22,0,22,0.0,True,False,0.0,,46.15,36.67,36.84,0.0,0.0,0.0,10,11,22,4,7,50.0,True,False,1.1,101.206,66.67,50.0,62.57,0.0,0.0,0.0,22,50.0,20.51,13.33,25.73,1.1,11,0,7,GREEN_FILTERED,True
AbstractFormattedWalker_next,jdom2,completed,COMPLETED,3,2,36,7,27,5.56,True,False,0.6667,,24.44,22.22,20.1,0.0,0.0,0.0,3,2,36,7,27,5.56,True,False,0.6667,56.426,24.44,22.22,20.1,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
StAXStreamBuilder_processPrunableElement,jdom2,completed,COMPLETED,2,1,21,0,20,4.76,True,False,0.5,,4.65,2.78,5.2,0.0,0.0,0.0,2,1,21,0,20,4.76,True,False,0.5,108.632,4.65,2.78,5.2,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0,0,0,GREEN_FILTERED,True
